,0,1,2
0,Bon Jovi,Ain't No Cure For Love (Crush Demo),"Aint no cure for love  
Aint no cure for love  
There aint no cure for love  
Aint no cure  
Cupid was a blind man  
He must have missed his mark  
Shot an arrow in the air and hit me in the heart  
I went to see Saint Valentine  
Said Whats come over me?  
Daddy must have missed the chapter about the birds and bees  
You can be the King of diamonds  
You can cash in all your gold  
You could hire Johnnie Cochran  
Its too late to save your soul  
Don't need no shot, no ambulance  
Don't need prescription drugs  
There aint no cure for love  
They can find the cure for the common cold  
When the pushing comes to shove  
There aint no cure for love  
Now someone call my lawyer  
I'm going to see my shrink  
I found myself in the jewelry store buying a diamond ring  
I went to see my doctor  
Said Wont you help me please?  
He said Son I'm sorry, its a terminal disease  
Can't get no love insurance  
Cupid draws his bow  
I aint waving boys, I'm drowning  
Its a damn good way to go  
Don't need no shot, no ambulance  
Don't need prescription drugs  
There aint no cure for love  
They can find the cure for the common cold  
When the pushing comes to shove  
There aint no cure for love  
You can be the King of Diamonds  
You can cash in all your gold  
You can hire Johnnie Cochran  
Its too late to save your soul  
Don't need no shot, no ambulance  
Don't need prescription drugs  
There aint no cure for love  
They can find the cure for the common cold  
When the pushing comes to shove  
There aint no cure for love  
No aspirin  
No ambulance  
Or Voodoo you can think up  
Aint no cure for love  
Aint no cure for love  
Aint no cure for love  
Aint no cure for love  
There aint no cure for love  
Aint no cure for love  
Aint no cure for love

"
1,Bon Jovi,Alive,"Feel me like I feel you  
Won't you let me come inside  
Heal me like I heal you  
Let your mind, body, soul, come alive  
On my knees (but I'm Rising)  
On My Feet (Getting Higher)  
I will fly  
  
Hey Hey I'm Alive  
Didn't think I'd make it to the other side  
Here to stay I'm alive  
Hey hey I survived  
It's a brand new day  
And I feel fine  
  
Here to say I'm alive  
Want me like I want you  
That's my heart you hold in your hands  
Touch me like I touch you  
Make me feel like superman  
On my knees (but I'm Rising)  
On My Feet (Getting Higher)  
I will fly  
  
Hey hey I'm alive  
Didn't think I'd make it to the other side  
Here to stay I'm alive  
Hey hey I survived  
It's a brand new  
And I feel fine  
  
Here to stay I'm alive  
Like the wind run with me  
Take my hand come with me  
Those bastards ain't bringing us down  
For all the dreams that died  
And all of the tears they cried  
If there's one thing I've learned  
Life is now  
On my knees (but I'm Rising)  
On My Feet (Getting Higher)  
I will fly  
  
Hey hey I'm alive  
Didn't think I'd make it to the other side  
Her to stay I'm alive (Didn't think I'd make it)  
Hey hey I survived  
It's a brand new day  
And I feel Fine  
Here to say I'm alive (It's here you got to take it)

"
2,Bon Jovi,All About Loving You,"Looking at the pages of my life  
Faded memories of me and you  
Mistakes you know I've made a few  
I took some shots and fell from time to time  
Baby, you were there to pull me through  
We've been around the block a time or two  
I'm gonna lay it on the line  
Ask me how we've come this far  
The answer's written in my eyes  
  
[Chorus:]  
Every time I look at you, baby, I see something new  
That takes me higher than before and makes me want you more  
I don't wanna sleep tonight, dreamin's just a waste of time  
When I look at what my life's been comin' to  
I'm all about lovin' you  
  
I've lived, I've loved, I've lost, I've paid some dues, baby  
We've been to hell and back again  
Through it all you're always my best friend  
For all the words I didn't say and all the things I didn't do  
Tonight I'm gonna find a way  
  
[Chorus:]  
Every time I look at you, baby, I see something new  
That takes me higher than before and makes me want you more  
I don't wanna sleep tonight, dreamin's just a waste of time  
When I look at what my life's been comin' to  
I'm all about lovin' you  
  
You can take this world away  
You're everything I am  
Just read the lines upon my face  
I'm all about lovin' you  
  
[Guitar Solo]  
  
[Chorus:]  
Every time I look at you, baby, I see something new  
That takes me higher than before and makes me want you more  
I don't wanna sleep tonight, dreamin's just a waste of time  
When I look at what my life's been comin' to  
I'm all about lovin' you  
  
All about lovin' you

"
3,Bon Jovi,All I Wanna Do Is You,"Working hard eight days a week  
Most days we've got no time to speak  
Feels like I'm chasing after my own life  
Girl can't you see you're my only vice  
  
Take the phone off the hook  
Turn the lights down low  
We'll play some old Sam Cooke  
Baby, let yourself go  
  
All I wanna do is you  
All I wanna do is you  
I'll do anything you want me to but  
All I wanna do is you  
  
I don't care what kinda clothes you wear  
It doesn't matter how you do your hair  
I don't need no champagne on ice  
Girl, can't you see that you're my only vice  
  
Turn the whole world off  
Keep your high heels on  
Take it nice and slow  
And make it last 'til dawn  
  
All I wanna do is you  
All I wanna do is you  
I'll do anything you want me to but  
All I wanna do is you  
  
I don't wanna eat, I don't wanna sleep  
Don't wanna sit around and watch TV  
When you're next to me it's where I wanna be  
All I wanna, all I wanna, all I, I wanna do  
  
All I wanna do is you  
All I wanna do is you  
I'll do anything you want me to, but  
All I wanna do is you  
  
All I wanna, all I wanna, all I wanna do  
All I wanna do now, all I wanna do is you  
Baby is you

"
4,Bon Jovi,All I Want Is Everything,"Some fifteen year old kid sits on his porch  
Just half-past noon, trying to figure out just what he's doing  
Why he had to grow up so soon  
With all the gangs, all the guns, watcha gonna learn in school?  
There's got to be some way out of here  
He says, ""Man, this life is cruel""  
I knew this Puerto Rican girl who lied to change her life  
She changed her name, her face  
Because the grass looked greener on the other side  
She turned her back, she ran away straight into the night  
Her friends, her family feel the pain but she's the one who cries  
Tell me what you want  
Tell me what you need  
I want everything  
I've had enough of having nothing, I won't take just anything  
I got my mind set on something, all I want is everything  
It's my life Mr., I ain't running, I'm no puppet on a string  
I want more than I see coming  
All I want is everything, all I want is everything  
My next door neighbor Donnie  
Died in his room just the other day  
His brother come home  
Found him dead on the floor with a needle in his vein  
Cops come down with a body bag  
They said Donnie was a casualty  
I said, all it's about is the boy checked out  
He couldn't handle reality  
Tell me what you want  
Tell me what you need  
I want everything  
I've had enough of having nothing, I won't take just anything  
I got my mind set on something, all I want is everything  
It's my life Mr. I ain't running, I'm no puppet on a string  
I want more than I see coming  
All I want is everything, all I want is everything  

"
5,Bon Jovi,"All Talk, No Action","First time I saw you girl,  
I knew that it wouldn't be long  
I tried holding back my feelings  
But you came on so strong  
No one told me about her  
But I know they all knew  
That I know all about the girls  
That do the things you do  
  
Cause you're all talk, no action  
You're all talk, no action  
  
You're playing those games with me baby,  
But one of us has got to win  
Someday all the boys are gonna find out  
That you won't even play it with them  
You're running out of numbers baby  
You won't say no, you just say maybe  
One of these days you're gonna get  
What's coming to you  
  
Cause you're all talk, no action  
All talk, no action  
You're all talk, no action  
You better stop this fooling around  
You're all talk no action  
You turn it up to cool me down, cool me down, cool me down  
  
Sticks and stones will break my bones  
But their names could never hurt me  
Cause I ain't afraid of you running away  
If you love me tonight then desert me  
  
Cause you're all talk, and no action  
You're all talk, but no action  
You're all talk, but no action  
You're all talk  
You're all talk, no action  
You're all talk, no action  
All talk, no action  
All talk, no action

"
6,Bon Jovi,Always,"This Romeo is bleeding, but you can't see his blood  
It's nothing but some feelings  
That this old dog kicked up  
It's been raining since you left me  
Now I'm drowning in the flood  
You see I've always been a fighter  
But without you I give up  
  
Now I can't sing a love song  
Like the way it's meant to be  
Well,I guess I'm not that good anymore  
But baby, that's just me  
  
Yeah I, will love you, baby  
Always and I'll be there  
Forever and a day, always  
  
I'll be there, till the stars don't shine  
'Til the heavens burst and the words don't rhyme  
I know when I die you'll be on my mind  
And I'll love you, always  
  
Now we're picture's that you left behind  
Are just memories of a different life  
Some that made us laugh  
Some that made us cry  
One that made you have to say goodbye  
  
What I'd give to run my fingers through your hair  
Touch your lips, to hold you near,  
When you say your prayers, try to understand  
I've made mistakes, I'm just a man  
  
When he holds you close, when he pulls you near  
When he says the words  
You've been needing to hear, I'll wish I was him  
'Cause these words are mine, to say to you  
'Til the end of time  
  
Yeah I, will love you, baby  
Always and I'll be there  
Forever and a day, always  
  
If you told me to cry for you, I could  
If you told me to die for you, I would  
Take a look at my face  
There's no price I won't pay  
To say these words to you  
  
Well, there ain't no luck in these loaded dice  
But baby, if you give me just one more try  
We can pack up our old dreams, and our old lives,  
We'll find a place, where the sun still shines  
  
Yeah I, will love you, baby  
Always and I'll be there  
Forever and a day, always  
  
I'll be there, till the stars don't shine  
'Til the heavens burst and the words don't rhyme  
I know when I die you'll be on my mind  
And I'll love you, always  
Always

"
7,Bon Jovi,Always Run To You,"The clock strikes ten  
Out on the streets again  
I been looking for something to please me since I don't know when  
Out on the dark side of town  
Another rumbles gone down  
And life on the high side isn't what this boys about  
  
She's got something I want man, it's something I need  
It takes more than the night to satisfy me  
I stand accused  
That I can always run to you  
Any road that you choose  
I can always run to you  
I stand accused  
I can always run to you  
I run to you  
Baby, I can always run  
  
To a heart of chrome  
And a soul of steel  
We've done more white lines than you'll know any one we could steal  
And when I give her the gun  
You know she feels so right  
And we don't let go when we're alone when I'm holding her so tight.  
  
She's got something I want man, it's something I need  
It takes more than the night to satisfy me.  
I stand accused  
I can always run to you  
Any road that you choose  
I can always run to you  
I stand accused  
I can always run to you  
I run to you  
Baby, I can always run  
  
And when the morning comes and I go to sleep  
When I close my eyes she's waiting for me  
I know that tonight she'll satisfy me.  
I stand accused  
I can always run to you  
Any road that you choose  
I can always run to you  
I stand accused  
I can always run to you  
I run to you  
Baby, I can always run

"
8,Bon Jovi,America The Beautiful,"America the beautiful  
Oh, beautiful for spacious skies  
For amber waves of grain  
For purple mountain's majesties  
Above the fruited plain  
  
America, America  
God shed his grace on thee  
And crown thy good with brotherhood  
From sea to shining sea  
  
Oh, beautiful for patriot dream  
That sees beyond the years  
Thine alabaster cities gleam  
Undimmed by human tears  
  
America, America  
God shed his grace on thee  
And crown thy good with brotherhood  
From sea to shining sea

"
9,Bon Jovi,American Dreams,"I used to see you on every tv  
Your smiling face looked back at me.  
I used to see you on every tv  
Your smiling face looked back at me.  
  
Then they caught you with the girl next door,  
People's money piled on the floor,  
Accusations that you try to deny,  
Revelations and rumours begin to fly.  
  
Now you think about reaching out  
Try to get some help from above.  
Now you think about reaching out  
Try to get some help from above.  
  
Reporters crowd around your house.  
Going through your garbage like a pack of hounds,  
Speculating what they may find out,  
It don't matter now, you're all washed up.  
  
You wake up in the middle of the night.  
Your sheets are wet and your face is white,  
You tried to make a good thing last,  
How could something so good, go bad, so fast?  
  
American dream, American dream,  
American dream, American dream.  
  
Don't know when things went wrong,  
Might have been when you were young and strong. (X 2)  
  
Reporters crowd around your house.  
Going through your garbage like a pack of hounds,  
Speculating what they may find out,  
It don't matter now, you're all washed up.  
  
Don't know when things went wrong,  
Might have been when you were young and strong.  
American dream, American dream.  
Don't know when things went wrong,  
Might have been when you were young and strong.  
American dream, American dream.

"
