,0,1,2
0,Metallica,2X4,"I'm gonna make you, shake you, take you  
I'm gonna be the one who breaks you  
Put the screws to ya my way  
Yeah, come on come on, come and make my day, make my day  
  
Got some hell to pay, I steal your thunder  
The joy of violent movements pulls you under  
Bite the bullet well hard  
Yeah, but I die harder, so go too far, too far  
Friction, fusion, retribution  
I can't hear ya, talk ta me (Friction, fusion)  
I can't hear ya so talk ta me (Retribution)  
I can't here ya, are you talkin' ta me? (Friction, fusion)  
I can't year ya, are you talkin' ta me? (Retribution)  
I can't hear ya, time ta meet my lord  
I can't hear ya, talk ta 2 by 4  
  
I'm gonna make you, shake you, take you  
I'm gonna be the one who breaks you  
Put the screws to ya my way  
Hey, come on come on, come and make my day, make my day  
Friction, fusion, retribution  
I can't hear ya, talk ta me (Friction, fusion)  
I can't hear ya, come talk ta me (Retribution)  
I can't here ya, are you talkin' ta me? (Friction, fusion)  
I can't year ya, are you talkin' ta me? (Retribution)  
I can't hear ya, time ta meet my lord  
I can't hear ya, talk ta 2 by 4  
  
Hey talk ta 2 by 4  
It don't take no more  
C'mon yeah  
C'mon  
  
C'mon, c'mon, talk to 2 by 4  
Talk to 2 by 4  
  
Friction, fusion, retribution  
I'm gonna make you talk to me (Friction, fusion)  
I'm gonna take you through, so talk to me (Retribution)  
I can't year ya, are you talkin' ta me? (Friction, fusion)  
I can't year ya, are you talkin' ta me? (Retribution)  
I can't hear ya, time ta meet my lord  
I can't hear ya, talk to, talk to 2 by 4  
She don't take no more'

"
1,Metallica,All Nightmare Long,"(One, two...)  
  
Luck runs out  
  
Crawl from the wreckage one more time  
Horrific memory twists the mind  
Dark, rutted (rugged?), cold and hard to turn  
Path of destruction, feel it burn  
  
Still life  
Incarnation  
Still life  
Infamy  
  
Hallucination  
Heresy  
Still you run  
What's to come?  
What's to be?  
  
'Cause we'll hunt you down without mercy  
Hunt you down all nightmare long  
Feel us breathe upon your face  
Feel our shift, every move we trace  
  
Hunt you down without mercy  
Hunt you down all nightmare long, yeah  
Luck runs...  
And you crawl out again  
But your luck runs out  
  
(One, two...)  
  
Luck runs out  
  
The light that is not light is here  
To flush you out with your own fear  
You hide, you hide  
But will be found  
Release your grip without a sound  
  
Still life  
Immolation  
Still life  
Infamy  
  
Hallucination  
Heresy  
Still you run  
What's to come?  
What's to be?  
  
'Cause we'll hunt you down without mercy  
Hunt you down all nightmare long  
Feel us breathe upon your face  
Feel our shift, every move we trace  
  
Hunt you down without mercy  
Hunt you down all nightmare long, yeah  
Luck runs...  
And you crawl out again  
But your luck runs out  
  
Then you crawl back in  
Into your obsession  
Never to return  
This is your confession  
  
Hunt you down without mercy  
Hunt you down all nightmare long  
Feel us breathe upon your face  
Feel our shift, every move we trace  
  
Hunt you down without mercy  
Hunt you down all nightmare long, yeah  
Luck runs...  
And you crawl out again  
But your luck runs out

"
2,Metallica,All Within My Hands,"All within my hands  
Squeeze it in, crush it down  
All with my hands  
Hold it dear, hold it suffocate  
  
All within my hands  
Love to death, smack you 'round and round and  
All within my hands  
Beware  
  
Love is control  
I'll die if I let go  
  
Hate me now  
Kill all within my hands  
Hate me now  
Crush all within my hands  
Squeeze all within my hands  
Choke all within my hands  
Hate me now  
Trap all within my hands  
Hurry up and hate me now  
Kill all within my hands  
  
All within my hands  
Take your fear, pump me up  
All within my hands  
Let you run, then I pull your leash  
  
All within my hands  
Under thumb, under to myself  
All within my hands  
Beware  
  
Love is control  
I'll die if I let go  
  
Hate me now  
Kill all within my hands  
Hate me now  
Crush all within my hands  
Squeeze all within my hands  
Choke all within my hands  
Hate me now  
Trap all within my hands  
Hurry up and hate me now  
Kill all within my hands again  
  
I'll die if I let go  
Control is love, love is control  
I'll fall if I let go  
Control is love, love is control  
  
I will only let you breathe  
My air that you receive  
Then we'll see if I let you love me  
  
Kill kill kill kill kill

"
3,Metallica,Battery,"Lashing out the action, returning the reaction  
Weak are ripped and torn away  
Hypnotizing power, crushing all that cower  
Battery is here to stay  
  
Smashing through the boundaries  
Lunacy has found me  
Cannot stop the battery  
Pounding out aggression  
Turns into obsession  
Cannot kill the battery  
  
Cannot kill the family  
Battery is found in me  
  
Battery  
  
Crushing all deceivers, mashing non-believers  
Never ending potency  
Hungry violence seeker, feeding off the weaker  
Breeding on insanity  
  
Smashing through the boundaries  
Lunacy has found me  
Cannot stop the battery  
Pounding out aggression  
Turns into obsession  
Cannot kill the battery  
  
Cannot kill the family  
Battery is found in me  
  
Battery  
  
Circle of destruction, hammer comes crushing  
Powerhouse of energy  
Whipping up a fury, dominating flurry  
We create the battery  
  
Smashing through the boundaries  
Lunacy has found me  
Cannot stop the battery  
Pounding out aggression  
Turns into obsession  
Cannot kill the battery  
  
Cannot kill the family  
Battery is found in me  
  
Battery

"
4,Metallica,Brandenburg Gate,"I would cut my legs and tits off  
When I think of Boris Karloff and Kinski  
In the dark of the moon  
It made me dream of Nosferatu  
Trapped on the isle of Doctor Moreau  
Oh wouldn't it be lovely  
  
Small town girl  
Small town girl  
Small town girl  
  
I was thinking Peter Lorre  
When things got pretty gory as I  
Crossed to the Brandenburg Gate  
I was feeling snappy perhaps I'd been napping  
As I just ate  
A following heart can tear you apart  
On a midnight to eight shift  
A graveyard romance can only give one chance  
As the tombstones weave and breathe  
  
Small town girl  
Small town girl  
  
Feeling happy when my heart got beating  
On a Sunday afternoon  
I dreamt of breezes going through the treeses  
And stars were still illumed  
I have three hearts that I keep apart  
Trying to relate  
To normal feelings and the nighttime reeling  
And some absinthe drunk so late  
  
Small town girl  
My small town girl  
  
The cook got drunk and all the whores they shrunk  
Onto the size of dessert plates  
But me I'm happy cause I got my little nappy  
And some opium to set me straight  
I'm just a small town girl who wants to give it a whirl  
While my looks still hold me straight  
  
Straight up to illusion and fantasy's fusion  
Of reality mixed with drink  
I'm just a small town girl who's gonna give life a whirl  
Looking at the Brandenburg Gate  
  
Small town giving it a whirl  
Brandenburg Gate  
Small town girl  
Small town girl

"
5,Metallica,Creeping Death,"Slaves  
Hebrews born to serve, to the pharaoh  
Heed  
To his every word, live in fear  
Faith  
Of the unknown one, the deliverer  
Wait  
Something must be done, four hundred years  
So let it be written  
So let it be done  
I'm sent here by the chosen one  
So let it be written  
So let it be done  
To kill the first born pharaoh son  
I'm creeping death  
  
Now  
Let my people go, land of Goshen  
Go  
I will be with thee, bush of fire  
Blood  
Running red and strong, down the Nile  
Plague  
Darkness three days long, hail to fire  
  
So let it be written  
So let it be done  
I'm sent here by the chosen one  
So let it be written  
So let it be done  
To kill the first born pharaoh son  
I'm creeping death  
  
Die by my hand  
I creep across the land  
Killing first born man  
Die by my hand  
I creep across the land  
Killing first born man  
  
I  
Rule the midnight air the destroyer  
Born  
I shall soon be there, deadly mass  
I  
Creep the steps and floor final darkness  
Blood  
Lambs blood painted door, I shall pass  
  
So let it be written  
So let it be done  
I'm sent here by the chosen one  
So let it be written  
So let it be done  
To kill the first born pharaoh son  
I'm creeping death

"
6,Metallica,Cretin Hop,"There's no stoppin' the cretins from hoppin'  
You gotta keep it beatin' for all the hoppin' cretins  
  
Cretin! Cretin!  
  
I'm gonna go for a whirl with my cretin girl  
My feet won't stop doin' the Cretin Hop  
  
Cretin! Cretin!  
  
1-2-3-4 cretins wanna hop some more  
4-5-6-7 All good cretins go to heaven  
  
There's no stoppin' the cretins from hoppin'  
You gotta keep it beatin' for all the hoppin' cretins  
  
Cretin! Cretin!  
  
I'm gonna go for a whirl with my cretin girl  
My feet won't stop doin' the Cretin Hop  
  
Cretin! Cretin!  
  
1-2-3-4 cretins wanna hop some more  
4-5-6-7 All good cretins go to heaven

"
7,Metallica,Escape,"[Verse 1]  
Feel no pain, but my life isn't easy  
I know I'm my best friend  
No one cares, but I'm so much stronger  
I'll fight until the end  
To escape from the true false world  
Undamaged destiny  
Can't get caught in the endless circle  
Ring of stupidity  
  
[Chorus]  
Out for my own, out to be free  
One with my mind, they just can't see  
No need to hear things that they say  
Life is for my own to live my own way  
  
[Verse 2]  
Rape my mind and destroy my feelings  
Don't tell me what to do  
I don't care now, because I'm on my side  
And I can see through you  
Feed my brain with your so called standards  
Who says that I am not right  
Break away from your common fashion  
See through your blurry sight  
  
[Chorus]  
Out for my own, out to be free  
One with my mind, they just can't see  
No need to hear things that they say  
Life is for my own to live my own way  
  
[Outro]  
See them try to bring the hammer down  
No damn chains can hold me to the ground

"
8,Metallica,Fixxxer,"Yeah  
Dolls of voodoo all stuck with pins  
One for each of us and our sins  
So you lay us in a line  
Push your pins in make us humble  
Only you can tell in time  
If we fall or merely stumble  
But tell me  
Can you heal what father's done  
Or fix this hole in a mother's son  
Can you heal the broken worlds within  
Can you strip away so we may start again  
Tell me can you heal what father's done  
Or cut this rope and let us run  
Just when all seems fine and I'm pain free  
You jab another pin  
Jab another pin in me  
Yeah  
Mirror, mirror upon the wall  
Break the spell or become the doll  
See you sharpening the pins  
So the holes will remind us  
We're just the toys in the hands of another  
And in time the needles turn from shine to rust  
But tell me  
Can you heal what father's done  
Or fix this hole in a mother's son  
Can you heal the broken worlds within  
Can you strip away so we may start again  
Tell me, can you heal what father's done  
Or cut this rope and let us run  
Just when all seems fine and I'm pain free  
You jab another pin  
Jab another pin in me  
Jab it  
Blood for face  
Sweat for dirt  
Three X's for the stone  
To break this curse  
A ritual's due  
I believe I'm not alone  
Shell of shotgun  
Pint of gin  
Numb us up to shield the pins  
Renew our faith  
Which way we can  
To fall in love with life again  
To fall in love with life again  
To fall in love with life again  
To fall in love  
To fall in love  
To fall in love with life again  
So tell me  
Can you heal what father's done  
Or fix this hole in a mother's son  
Can you heal the broken worlds within  
Can you strip away so we may start again  
Yeah, tell me, can you heal what father's done  
Or cut this rope and let us run  
Just when all seems fine and I'm pain free  
You jab another pin  
Jab another pin in me  
Oh yeah  
No more pins in me, yeah  
No more, no more pins in me  
No more, no more pins in me  
No more, no more, no more  
No, no, no

"
9,Metallica,Frantic,"If I could have my wasted days back  
Would I use them to get back on track?  
Stop to warm at karmas burning  
Or look ahead, but keep on turning?  
  
Do I have the strength  
To know how I'll go?  
Can I find it inside  
To deal with what I shouldn't know?  
  
Could I have my wasted days back  
Would I use them to get back on track?  
  
You live it or lie it!  
  
My lifestyle determines my deathstyle  
  
Keep searching, keep on searching  
This search goes on, this search goes on  
  
Frantic tick tick tick tick tick tick tock  
Frantic tick tick tick tick tick tick tock  
  
I've worn out always being afraid  
An endless stream of fear that I've made  
Treading water full of worry  
This frantic tick tick talk of hurry  
  
Do I have the strength  
To know how I'll go?  
Can I find it inside  
To deal with what I shouldn't know  
  
Worn out always being afraid  
An endless stream of fear that I've made  
  
You live it or lie it!  
  
My lifestyle determines my deathstyle  
  
Keep searching, keep on searching  
This search goes on, this search goes on  
  
Frantic tick tick tick tick tick tick tock  
Frantic tick tick tick tick tick tick tock  
  
My lifestyle (Birth is pain)  
Determines by deathstyle (Life is pain)  
A rising tide (Death is pain)  
That pushes to the other side (It's all the same)

"
