,0
0,"Let's meet in the city where  
The rivers cross bridges there  
Let's float down into the stream  
Of rich and poor pioneers  
A kid from a western town  
Wants to be seen and go out  
Let's borrow my parent's car  
Let's stay out all night up there  
And Burnside will be our street  
Where the kids and the hookers meet  
Diners and strip club junk  
Bookstores and punk rock clubs  
Water, Building and Sin  
(I'm as green as this blade in the grass that bends)  
Big Oregon city draws you in  
(In the wind that blows on the long weekends)  
A promise fulfilled or not  
(Where I take the bridge to the water fountains)  
Just hang on until the summer, it's hot  
(And to gain the hope that the city brings)  
We'll make our home water-tight  
Work all day, play all night  
And hope we're not washed away  
By deceit or tragedy  
And Joan of Arc rules Northeast  
Where the poor and the hipsters meet  
The grid that divides us all  
The river makes final call  
Out at the edge of town  
Where airfield runs water down  
Coyote crosses the tracks  
And hops on the Light-Rail Max  
Water, Building and Sin  
(I'm as green as this blade in the grass that bends)  
Big Oregon city draws you in  
(In the wind that blows on the long weekends)  
A promise fulfilled or not  
(Where I take the bridge to the water fountains)  
Just hang on until the summer, it's hot  
(And to gain the hope that the city brings)  
And if you wanna be a friend of mine  
Cross the river to the east side  
Find me on the eve of suicide  
Tell me the city is no place to hide  
Take me out into a sunny day  
Through the grotto or the promenade  
You came to me in the nick of time  
Thankful for the things I left behind  
Oh dirty river, come let me in (3X)  
Oh dirty river

"
1,"I, I'm driving black on black  
Just got my license back  
I got this feeling in my veins this train is coming off the track  
I'll ask polite if the devil needs a ride  
Because the angel on my right ain't hanging out with me tonight  
I'm driving past your house while you were sneaking out  
I got the car door opened up so you can jump in on the run  
Your mom don't know that you were missing  
She'd be pissed if she could see the parts of you that I've been kissing  
Screamin'  
  
[Chorus]  
No, we're never gonna quit  
Ain't nothing wrong with it  
Just acting like we're animals  
No, no matter where we go  
Cause everybody knows  
We're just a couple of animals  
  
So come on baby, get in  
Get in, just get in  
Check out the trouble we're in  
  
You're beside me on the seat  
Got your hand between my knees  
And you control how fast we go by just how hard you wanna squeeze  
It's hard to steer when you're breathing in my ear  
But I got both hands on the wheel while you got both hands on my gears  
By now, no doubt that we were heading south  
I guess nobody ever taught her not to speak with a full mouth  
Cause this was it, like flicking on a switch  
It felt so good I almost drove into the ditch  
I'm screamin'  
  
[Chorus]  
  
So come on baby, get in  
Get in, just get in  
Look at the trouble we're in  
  
We were parked out by the tracks  
We're sitting in the back  
And we just started getting busy  
When she whispered ""what was that?""  
The wind, I think 'cause no one else knows where we are  
And that was when she started screamin'  
""That's my dad outside the car!""  
Oh please, the keys, they're not in the ignition  
Must have wound up on the floor while  
we were switching our positions  
I guess they knew that she was missing  
As I tried to tell her dad it was her mouth that I was kissing  
Screamin'  
  
[Chorus]  
  
So come on baby, get in  
We're just a couple of animals  
Get in, just get in  
Ain't nothing wrong with it  
Check out the trouble we're in  
Get in, just get in

"
2,"I'm through thinking of things to say to you  
It's true, I've said enough and so have you  
Just drive, you slam the door and so do I  
Tongue tied from all the little things  
And they're the reason that I scream  
  
I needed you  
Probably as bad as I need another hole in the head  
'Cause I needed you  
Car keys in your hand I believe that you would leave me for dead  
  
Your turn, you'd rather leave than live and learn  
That's why, you want an end and so do I  
This time, I believe I'll leave it all behind  
Tongue tied from all the little things  
And they're the reason that I scream  
  
I needed you  
Probably as bad as I need another hole in the head  
'Cause I needed you  
Car keys in your hand I believe that you would leave me for dead  
'Cause I needed you  
Probably as bad as I need another hole in the head  
'Cause I needed you  
Car keys in your hand I believe that you would leave me for dead  
  
I believe that you would leave me for  
I believe you would leave  
Me for dead, me for dead  
I believe you would leave  
Me for dead, me for dead  
  
I'm through thinking of things to say to you  
It's true, I've said enough and so have you  
Just drive, you slam the door and so do I  
Tongue tied from all the little things  
And they're the reason that I scream  
  
I needed you  
Probably as bad as I need another hole in the head  
'Cause I needed you  
Car keys in your hand I believe that you would leave me for dead  
'Cause I needed you  
Probably as bad as I need another hole in the head  
'Cause I needed you  
Car keys in your hand I believe that you would leave me for  
I believe you would leave  
Me for dead , me for dead  
I believe that you would leave  
I believe that you would leave me for

"
3,"Hands on the mirror, can't get much clearer  
Can't make this all go away  
Now that you're bleeding, you stare at the ceiling  
And watch as it all fades away  
  
From what you do...because of you...  
  
You know I can't be there each time that you call  
I swore not to come, but I'm here after all  
I know by the look that I see in your eye  
I won't stand around and I won't watch you die  
For what you do..  
  
(What you do, what you do, was because of you) x2  
  
Now that you did this, you ask for forgiveness  
Doctor could you be my priest  
Say you're mistaken, but look what you've taken  
You laugh as you lie through your teeth  
  
From what you do...because of you...  
  
You know I can't be there each time that you call  
I swore not to come, but I'm here after all  
I know by the look that I see in your eye  
I won't stand around and I won't watch you die  
For what you do...  
  
(What you do, what you do, was because of you) x2  
  
Hands on the mirror, can't get much clearer  
Can't make this all go away  
Now that you're bleeding, you stare at the ceiling  
And watch as it all fades away  
  
From what you do...because of you...  
  
You know I can't be there each time that you call  
I swore not to come, but I'm here after all  
I know by the look that I see in your eye  
I won't stand around and I won't watch you die  
For what you do...  
  
(What you do, what you do, was because of you) x2  
...Because of you

"
4,"Well it's midnight, damn right, we're wound up too tight  
I've got a fist full of whiskey, the bottle just bit me  
Ooooooooooooooohhhhhhhhhhh  
That shit makes me bat shit crazy  
We've got no fear, no doubt, all in balls out  
  
We're going out tonight  
To kick out every light  
Take anything that we want  
Drink everything in sight  
We're going till the world stops turning  
While we burn it to the ground tonight  
Ooooohhhhhhh  
  
We're screaming like demons, swinging from the ceiling  
I got a fist full of fifties, the tequila just hit me  
Ooooohhhhh  
We got no class, no taste, no shirt, and shit faced  
We got it lined up, shot down, firing back straight crown  
  
We're going out tonight  
To kick out every light  
To get anything that we want  
Drink everything in sight  
We're going till the world stops turning  
While we burn it to the ground tonight  
Ooooohhhhhhh  
  
Ticking like a time bomb, drinking till the nights gone  
Well get you hands out of this glass, last call my ass  
Well no chain, no lock, and this train won't stop  
We got no fear, no doubt, all in balls out  
  
We're going out tonight  
To kick out every light  
To get anything that we want  
To drink everything in sight  
We're going till the world stops turning  
While we burn it to the ground tonight  
Ooooohhhhhhh  
We're going out tonight  
To kick out every light  
To get anything that we want  
To drink everything in sight  
We're going till the world stops turning  
While we burn it to the ground tonight

"
5,"Left on an east-bound train  
Gone first thing this morning  
Why is what's best for you  
Always the worst thing for me  
  
When am I gonna learn  
Why, 'cause I'm tired of hating  
When will it be your turn  
Why, 'cause I'm tired of waiting  
  
No, I don't  
No, I don't  
No, I don't  
  
Well, no, I don't find faith in your false feelings  
Not fooled by your misleadings  
Won't buy this line you're selling  
Tired of this lie you're telling  
  
I won't  
But I don't  
But I won't do this anymore  
I won't  
I don't  
But I won't do this anymore, whoa  
Whoa-oh, oh  
  
She says I'm only telling half of it  
That's probably 'cause there's only half worth telling  
And every time I try to laugh it off  
That's when you turn around, wind up yelling  
  
When am I gonna learn  
Why, 'cause I'm tired of hating  
When will it be your turn  
Why, 'cause I'm tired of waiting  
  
No, I don't  
No, I don't  
No, I don't  
  
No, I don't find faith in your false feelings  
Not fooled by your misleadings  
Won't buy this line you're selling  
Tired of this lie you're telling  
  
I won't  
But I don't  
But I won't do this anymore  
I won't  
I don't  
But I won't do this anymore, whoa  
Whoa-oh, oh  
Yeah-ah, yeah  
  
She says I'm only telling half of it  
That's probably 'cause there's only half worth telling  
And every time I try to laugh it off  
That's when you turn around, wind up yelling  
  
When am I gonna learn  
Why, 'cause I'm tired of hating  
When will it be your turn  
Why, 'cause I'm tired of waiting  
  
No, I don't  
No, I don't  
No, I don't  
  
No, I don't find faith in your false feelings  
Not fooled by your misleadings  
Won't buy this line you're selling  
Tired of this lie you're telling  
  
I won't  
I don't  
I won't do this anymore  
I won't  
I don't  
I won't do this anymore, whoa  
Whoa-oh, oh  
Yeah, argh  
Argh-argh-argh, yeah-yeah  
Yeah, argh

"
6,"Don't let it end.  
Don't let it end.  
Don't ever let it end.  
  
Well, I got two tickets to the game.  
It would be great if I could take you to this sunday.  
Well, I'll walk you home when the whole things done.  
If you're there, I don't even care which team won.  
  
We could stop at the coffee shop.  
And make fun of the cops in the parking lot.  
We could laugh as we both pretend that we're not in love and that we're just
good friends.  
  
Well, I'm tired of pretending, but I'm terrified of it ending.  
I know if not for you there's nothing I could do, to ever let it end.  
And I know you feel the same way, because you told me drunk on your birthday.  
And as you pulled me near, whispered in my ear, don't ever let it end.  
  
Don't let it end.  
Don't let it end.  
Don't ever let it end.  
  
Saturday I'm gonna take her out.  
'Cause her favorite band is gonna play downtown.  
Gonna sing the song we've all heard, about those two young friends who should
have fell in love.  
  
Later on we'll cut through the park.  
And she can hold my hand because she hates the dark.  
And we could laugh as we both pretend that we're not in love and that we're
just good friends.  
  
Well, I'm tired of pretending, but I'm terrified of it ending.  
I know if not for you there's nothing I could do, to ever let it end.  
And I know you feel the same way, because you told me drunk on your birthday.  
And as you pulled me near, whispered in my ear, don't ever let it end.  
  
Please promise me that this won't end.  
Don't let it end.  
Don't let it end.  
Don't ever let it end.  
  
Greatest times we ever had, the crazy nights just looking back and laugh.  
You never know where life's gonna go, because we're the only ones who will
ever know.  
  
About Sunday night, just her and I.  
Sitting side by side in the full moon light.  
I pulled her close just to hold her tight and the both of us could tell it
just felt right.  
She looked at me in the sweetest way.  
Like she could tell what the hell I was about to say.  
Must have took a while to find the words 'cause she cut me off and finally
said it first.  
  
Well, I'm tired of pretending, but I'm terrified of it ending.  
I know if not for you there's nothing I could do to ever let it end.  
Yeah, you know I feel the same way, because I told you drunk on my birthday.  
And as I pulled you near, whispered in your ear, don't ever let it end.  
  
Please promise me that this won't end.  
Don't let it end.  
Don't let it end.  
Don't ever let it end.  
  
Please promise that this won't end.  
Don't let it end.  
Don't let it end.  
Don't ever let it end.  
  
Don't let it end.  
Don't let it end.  
Don't ever let it end.

"
7,"Head high, protest line  
Freedom scribbled on your sign  
Headline, New York Times  
Standing on the edge of a revolution  
  
Hey, hey, just obey  
Your secret's safe with the nsa  
In God we trust or the cia  
Standing on the edge of a revolution  
  
Yeah, we're standing on the edge of a revolution  
Revolution, revolution, revolution  
  
No we won't give up, we won't go away  
Cause we're not about to live in this mass delusion  
No we don't want to hear another word you say  
Cause we know you're all depending on mass confusion  
No we can't turn back, we can't turn away  
Cause this time we are relying on the lost solution  
No we won't lay down and accept this fate  
Cause we're standing on the edge of a revolution  
  
Wall Street, common thief  
When they get caught they all go free  
A brand new yacht and a finders fee  
Standing on the edge of a revolution  
  
Same shit, different day  
Can't keep fed if I can't get paid  
We'll all be dead if the ship don't change  
Standing on the edge of a revolution  
  
Yeah, we're standing on the edge of a revolution  
Revolution, revolution, revolution  
  
No we won't give up, we won't go away  
Cause we're not about to live in this mass delusion  
No we don't want to hear another word you say  
Cause we know you're all depending on mass confusion  
No we can't turn back, we can't turn away  
Cause this time we are relying on the lost solution  
No we won't lay down and accept this fate  
Cause we're standing on the edge of a revolution  
  
What do we want? We want the change  
How we gonna get there? Revolution  
What do we want? We want the change  
Standing on the edge of a revolution  
  
What do we want? We want the change  
How we gonna get there? Revolution  
What do we want? We want the change  
Standing on the edge of a revolution  
  
No we won't give up, we won't go away  
Cause we're not about to live in this mass delusion  
No we don't want to hear another word you say  
Cause we know you're all depending on mass confusion  
No we can't turn back, we can't turn away  
Cause this time we are relying on the lost solution  
No we won't lay down and accept this fate  
Cause we're standing on the edge of a revolution  
  
What do we want? We want the change  
How we gonna get there? Revolution  
What do we want? We want the change  
Standing on the edge of a revolution  
  
What do we want? We want the change  
How we gonna get there? Revolution  
What do we want? We want the change  
Standing on the edge of a revolution

"
8,"She's got a dirty mouth, it tasted so clean with every taste of me.  
You know that every single thing she does.  
She does for me, because it's what I'm dreaming of.  
  
(You and me, sitting in a tree.  
F-U-C-K-I-N-G)  
  
And she likes to take her time.  
More then fortunate, form of torture.  
And she likes to touch and tease.  
It's always fun for me, it's always unbelievable.  
  
She'll do every naughty thing I want  
My baby, she's up for anything I wanna do.  
She's a giver and it gets her off.  
My baby, she's into everything I wanna do.  
  
If it was on TV, or ever in a magazine.  
She could take the fantasy and make it a reality.  
She delivers every dirty thought.  
My baby, she's into everything I wanna do.  
  
And she knows every spot.  
Exactly where it's at, and she could draw a map.  
But until you have some, it's like a weapon.  
And she's always threatening, to be the death of me.  
  
(You and me, sitting in a tree.  
F-U-C-K-I-N-G)  
  
She'll do every naughty thing I want  
My baby, she's up for anything I wanna do.  
She's a giver and it gets her off.  
My baby, she's into everything I wanna do.  
  
If it was on TV, or ever in a magazine.  
She could take the fantasy and make it a reality.  
She delivers every dirty thought.  
My baby, she's into everything I wanna do.  
  
So, what you wanna do?  
So, what you wanna do?  
  
And me, I'll repay the favor with your favorite thing you love to do.  
  
So, what you wanna do?  
So, what you wanna do?  
I'm about to take it up a notch, so watch what I'm about to do.  
  
(You and me, sitting in a tree.  
F-U-C-K-I-N-G)  
  
She'll do every naughty thing I want  
My baby, she's up for anything I wanna do.  
She's a giver and it gets her off.  
My baby, she's into everything I wanna do.  
  
If it was on TV, or ever in a magazine.  
She could take your fantasy and make it a reality.  
She delivers every dirty thought.  
My baby, she's into everything I wanna do.  
  
Everything you want, anything at all, everything you want.  
Everything I wanna do.  
Everything you want, anything at all, everything you want.  
Everything I wanna do.

"
9,"No, I don't guess  
I don't sacrifice  
And I know  
I don't realize  
Just how much  
I can idolize...and I know and I know  
And then I find it falls back on  
On to me, to see, believe  
And down onto you, We do, it's true  
And I won't beg to stay, to leave, or to believe  
A word you say, and then I guess  
It all falls back on you  
To find out (find out)  
What's the deal  
And I guess you don't  
Simplify  
It's just, you had to  
Had to take, and I know and I know  
And then I guess it all falls back on you  
  
There's a fine line between right and wrong  
And I know we knew all along  
Just how much I can half belong...and I know and I know  
And then I find it all falls back on  
On to me, to see, believe  
And down onto you, we do, it's true  
And I won't beg to stay, to leave, or to believe  
A word you say, and then I guess  
It all falls back on you  
To find out (find out)  
What's the deal  
And I guess you don't  
Simplify  
It's just, you had to  
Had to take, and I know and I know  
And then I find it all falls back on you  
  
'Cause I'm really up on this  
'Cause I'm really up on this  
Time to see these people  
Where the hell do I get through to you?  
No, I don't guess  
I don't sacrifice  
And I know  
I don't realize  
Just how much  
I can idolize...and I know and I know  
And then I find it falls back on  
On to me, to see, believe  
And down onto you, we do, it's true  
And I won't beg to stay, to leave, or to believe  
A word you say, and then I guess  
It all falls back on you  
To find out (find out)  
What's the deal  
And I guess you don't  
Simplify  
It's just, you try to hesitate  
And then I find it all falls back on you  
On you

"
